,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data generated at 23:29 on 18 Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geographical scope: 10 selected,,Telco actuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network,Metric type,Metric,Market segment,Region,Country,Operator name,Unit,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1Q 2003,2Q 2003,3Q 2003,4Q 2003,1Q 2004,2Q 2004,3Q 2004,4Q 2004,1Q 2005,2Q 2005,3Q 2005,4Q 2005,1Q 2006,2Q 2006,3Q 2006,4Q 2006,1Q 2007,2Q 2007,3Q 2007,4Q 2007,1Q 2008,2Q 2008,3Q 2008,4Q 2008,1Q 2009,2Q 2009,3Q 2009,4Q 2009,1Q 2010,2Q 2010,3Q 2010,4Q 2010,1Q 2011,2Q 2011,3Q 2011,4Q 2011,1Q 2012,2Q 2012,3Q 2012,4Q 2012,1Q 2013,2Q 2013,3Q 2013,4Q 2013,1Q 2014,2Q 2014,3Q 2014,4Q 2014,1Q 2015,2Q 2015,3Q 2015,4Q 2015,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,2Q 2018,3Q 2018,4Q 2018,1Q 2019,2Q 2019,3Q 2019,4Q 2019,1Q 2020,2Q 2020,3Q 2020,4Q 2020,1Q 2021,2Q 2021,3Q 2021,4Q 2021,1Q 2022,2Q 2022,3Q 2022,4Q 2022,1Q 2023,2Q 2023,3Q 2023,4Q 2023,1Q 2024,2Q 2024,3Q 2024,4Q 2024,1H 2012,2H 2012,1H 2013,2H 2013,1H 2014,2H 2014,1H 2015,2H 2015,1H 2016,2H 2016,1H 2017,2H 2017,1H 2018,2H 2018,1H 2019,2H 2019,1H 2020,2H 2020,1H 2021,2H 2021,1H 2022,2H 2022,1H 2023,2H 2023,1H 2024,2H 2024,Column 1,Operator Type,MNO,GROUP,Service,Technology,Pay-TV service platform,Device,Mobile plan,Standardisation,Metric definition
Mobile,Connections,total – including IoT,Total,Sub-Saharan Africa,Ghana,Total market,,,,,   5 154 513,   7 605 053,   11 582 917,   14 925 740,   16 159 342,   18 943 414,   22 147 483,   23 896 163,   25 122 737,   27 052 589,   28 073 219,   28 742 389,   29 957 785,   31 545 605,   35 858 759,   36 823 128,   37 946 634,   33 040 954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   25 427 124,   26 051 864,   26 353 396,   27 052 589,   27 253 204,   27 447 438,   27 612 408,   28 073 219,   28 193 869,   28 556 642,   28 722 101,   28 742 389,   29 105 864,   29 356 599,   29 472 101,   29 957 785,   31 035 111,   31 120 979,   31 046 417,   31 545 605,   32 089 322,   32 870 810,   34 795 863,   35 858 759,   36 819 335,   37 125 185,   37 788 353,   36 823 128,   38 182 590,   38 418 075,   38 273 556,   37 946 634,   36 500 539,   33 768 852,   32 396 825,   33 040 954,   33 733 169,   34 025 248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,None,n/a,Totals,Totals,Not specified,Totals,All,Standardised,"Mobile/Connections/total – including IoT | Publication date: 24 September 2024 Based on historical data up to quarter 2 of 2024 | Total active mobile connections (handset, mobile broadband and IoT). Active subscribers are those that have used their mobile account in the past 3 months. Connections metrics relate to the end-of-period figure.  "
Mobile,Connections,total – including IoT,Total,Sub-Saharan Africa,Kenya,Total market,,,,,   7 082 500,   11 349 000,   16 235 373,   19 369 925,   23 820 015,   25 729 859,   28 271 801,   29 832 346,   31 514 860,   36 899 255,   39 107 211,   42 901 714,   49 699 761,   54 967 983,   61 452 441,   65 680 720,   66 496 216,   72 018 116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   32 562 370,   33 783 832,   35 324 827,   36 899 255,   35 619 086,   36 781 392,   38 291 782,   39 107 211,   39 195 163,   40 318 300,   41 097 361,   42 901 714,   44 237 934,   45 815 862,   46 801 434,   49 699 761,   51 257 499,   52 423 845,   53 534 221,   54 967 983,   55 652 663,   57 515 186,   60 366 921,   61 452 441,   62 410 495,   64 901 358,   65 445 133,   65 680 720,   65 239 036,   65 353 844,   66 148 957,   66 496 216,   68 991 033,   70 015 962,   72 130 673,   72 018 116,   73 376 990,   74 742 157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,None,n/a,Totals,Totals,Not specified,Totals,All,Standardised,"Mobile/Connections/total – including IoT | Publication date: 24 September 2024 Based on historical data up to quarter 2 of 2024 | Total active mobile connections (handset, mobile broadband and IoT). Active subscribers are those that have used their mobile account in the past 3 months. Connections metrics relate to the end-of-period figure.  "
Mobile,Connections,total – including IoT,Total,Sub-Saharan Africa,Côte d'Ivoire,Total market,,,,,,,   9 703 949,   11 990 621,   14 509 820,   15 940 787,   17 213 862,   18 407 325,   21 137 120,   24 135 952,   26 559 970,   31 314 239,   32 527 475,   34 311 761,   37 831 591,   40 678 928,   42 388 984,   44 382 778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   21 420 809,   22 780 747,   23 489 812,   24 135 952,   23 292 390,   23 724 493,   25 097 124,   26 559 970,   28 240 842,   29 517 605,   30 836 913,   31 314 239,   31 574 587,   32 684 356,   32 235 196,   32 527 475,   32 312 054,   33 233 415,   33 497 027,   34 311 761,   35 382 340,   35 743 823,   36 546 960,   37 831 591,   38 589 966,   38 890 340,   38 804 744,   40 678 928,   41 499 362,   40 518 486,   41 561 354,   42 388 984,   42 383 711,   42 333 554,   43 128 409,   44 382 778,   44 642 220,   45 386 931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,None,n/a,Totals,Totals,Not specified,Totals,All,Standardised,"Mobile/Connections/total – including IoT | Publication date: 24 September 2024 Based on historical data up to quarter 2 of 2024 | Total active mobile connections (handset, mobile broadband and IoT). Active subscribers are those that have used their mobile account in the past 3 months. Connections metrics relate to the end-of-period figure.  "
Mobile,Connections,total – including IoT,Total,Sub-Saharan Africa,Nigeria,Total market,,,,,   28 000 000,   40 395 611,   62 989 552,   73 105 812,   86 070 677,   93 499 024,   110 375 787,   122 261 015,   132 979 138,   143 650 096,   146 198 255,   145 415 031,   164 407 682,   181 161 262,   201 495 738,   192 192 296,   211 600 263,   220 112 926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   137 409 507,   141 828 540,   143 388 449,   143 650 096,   141 481 509,   142 803 904,   145 184 248,   146 198 255,   144 033 821,   139 667 306,   140 272 002,   145 415 031,   149 645 868,   151 820 263,   154 336 523,   164 407 682,   169 523 465,   171 104 222,   176 945 740,   181 161 262,   185 158 998,   189 722 169,   198 675 475,   201 495 738,   189 241 939,   184 381 982,   186 457 582,   192 192 296,   196 615 947,   203 762 119,   207 411 612,   211 600 263,   213 860 976,   215 138 968,   216 234 662,   220 112 926,   218 121 866,   219 981 714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,None,n/a,Totals,Totals,Not specified,Totals,All,Standardised,"Mobile/Connections/total – including IoT | Publication date: 24 September 2024 Based on historical data up to quarter 2 of 2024 | Total active mobile connections (handset, mobile broadband and IoT). Active subscribers are those that have used their mobile account in the past 3 months. Connections metrics relate to the end-of-period figure.  "
