Network,Metric type,Metric,Market segment,Region,Country,Operator name,Unit,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,4Q 2003,1Q 2004,2Q 2004,3Q 2004,4Q 2004,1Q 2005,2Q 2005,3Q 2005,4Q 2005,1Q 2006,2Q 2006,3Q 2006,4Q 2006,1Q 2007,2Q 2007,3Q 2007,4Q 2007,1Q 2008,2Q 2008,3Q 2008,4Q 2008,1Q 2009,2Q 2009,3Q 2009,4Q 2009,1Q 2010,2Q 2010,3Q 2010,4Q 2010,1Q 2011,2Q 2011,3Q 2011,4Q 2011,1Q 2012,2Q 2012,3Q 2012,4Q 2012,1Q 2013,2Q 2013,3Q 2013,4Q 2013,1Q 2014,2Q 2014,3Q 2014,4Q 2014,1Q 2015,2Q 2015,3Q 2015,4Q 2015,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,2Q 2018,3Q 2018,4Q 2018,1Q 2019,2Q 2019,3Q 2019,4Q 2019,1Q 2020,2Q 2020,3Q 2020,4Q 2020,1Q 2021,2Q 2021,3Q 2021,4Q 2021,1Q 2022,2Q 2022,3Q 2022,4Q 2022,1Q 2023,2Q 2023,3Q 2023,4Q 2023,1Q 2024,2Q 2024,Operator Type,MNO,GROUP,Service,Technology,PayTV service platform,Device,Mobile plan,Standardisation,Metric definition
Mobile,Connections,total–includingIoT,Total,Sub-SaharanAfrica,Ghana,Totalmarket,Unknown,0.0,0.0,5154513,7605053,11582917,14925740,16159342,18943414,22147483,23896163,25122737,27052589,28073219,28742389,29957785,31545605,35858759,36823128,37946634,33040954,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,25427124,26051864,26353396,27052589,27253204,27447438,27612408,28073219,28193869,28556642,28722101,28742389,29105864,29356599,29472101,29957785,31035111,31120979,31046417,31545605,32089322,32870810,34795863,35858759,36819335,37125185,37788353,36823128,38182590,38418075,38273556,37946634,36500539,33768852,32396825,33040954,33733169,34025248,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total–includingIoT|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|Totalactivemobileconnections(handsetmobilebroadbandandIoT).Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.
Mobile,Connections,total–includingIoT,Total,Sub-SaharanAfrica,Kenya,Totalmarket,Unknown,0.0,0.0,7082500,11349000,16235373,19369925,23820015,25729859,28271801,29832346,31514860,36899255,39107211,42901714,49699761,54967983,61452441,65680720,66496216,72018116,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,32562370,33783832,35324827,36899255,35619086,36781392,38291782,39107211,39195163,40318300,41097361,42901714,44237934,45815862,46801434,49699761,51257499,52423845,53534221,54967983,55652663,57515186,60366921,61452441,62410495,64901358,65445133,65680720,65239036,65353844,66148957,66496216,68991033,70015962,72130673,72018116,73376990,74742157,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total–includingIoT|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|Totalactivemobileconnections(handsetmobilebroadbandandIoT).Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.
Mobile,Connections,total–includingIoT,Total,Sub-SaharanAfrica,CôtedIvoire,Totalmarket,Unknown,0.0,0.0,Unknown,Unknown,9703949,11990621,14509820,15940787,17213862,18407325,21137120,24135952,26559970,31314239,32527475,34311761,37831591,40678928,42388984,44382778,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,21420809,22780747,23489812,24135952,23292390,23724493,25097124,26559970,28240842,29517605,30836913,31314239,31574587,32684356,32235196,32527475,32312054,33233415,33497027,34311761,35382340,35743823,36546960,37831591,38589966,38890340,38804744,40678928,41499362,40518486,41561354,42388984,42383711,42333554,43128409,44382778,44642220,45386931,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total–includingIoT|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|Totalactivemobileconnections(handsetmobilebroadbandandIoT).Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.
Mobile,Connections,total–includingIoT,Total,Sub-SaharanAfrica,Nigeria,Totalmarket,Unknown,0.0,0.0,28000000,40395611,62989552,73105812,86070677,93499024,110375787,122261015,132979138,143650096,146198255,145415031,164407682,181161262,201495738,192192296,211600263,220112926,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,137409507,141828540,143388449,143650096,141481509,142803904,145184248,146198255,144033821,139667306,140272002,145415031,149645868,151820263,154336523,164407682,169523465,171104222,176945740,181161262,185158998,189722169,198675475,201495738,189241939,184381982,186457582,192192296,196615947,203762119,207411612,211600263,213860976,215138968,216234662,220112926,218121866,219981714,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total–includingIoT|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|Totalactivemobileconnections(handsetmobilebroadbandandIoT).Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.
Mobile,Connections,total–includingIoT,Total,Sub-SaharanAfrica,Cameroon,Totalmarket,Unknown,0.0,0.0,Unknown,4332476,5387046,6655128,7683723,9533451,11897345,13216094,14459480,16537178,16561730,18174646,19018153,21909124,23303013,23322876,24512746,26143005,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15764298,17202355,17472115,16537178,16699981,16934817,16659522,16561730,16747652,17166540,18085747,18174646,18260509,18165878,18412549,19018153,19658376,20606517,20723866,21909124,22524096,22701869,23858595,23303013,23097187,22773733,22638063,23322876,23293279,23642414,23956613,24512746,25070504,25475553,25824140,26143005,26659236,26956158,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total–includingIoT|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|Totalactivemobileconnections(handsetmobilebroadbandandIoT).Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.
Mobile,Connections,total–includingIoT,Total,Sub-SaharanAfrica,Rwanda,Totalmarket,Unknown,0.0,0.0,Unknown,636646,1322654,2160415,3289590,3922231,4782530,6156068,7091214,7873770,7873571,7906715,9530691,9535013,10198402,10484438,10861247,12294560,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7174781,7385230,7667093,7873770,7849132,7954869,7879995,7873571,7947597,7971664,8127718,7906715,8165849,8395365,8817582,9530691,9147932,8881788,9241808,9535013,9657417,9426396,10055984,10198402,10251680,10605797,10592060,10484438,10292431,10338848,10672497,10861247,11231871,11589723,12110255,12294560,12639913,12938309,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total–includingIoT|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|Totalactivemobileconnections(handsetmobilebroadbandandIoT).Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.
Mobile,Connections,total–includingIoT,Total,Sub-SaharanAfrica,SouthAfrica,Totalmarket,Unknown,0.0,0.0,33957541,39424472,45018112,46052781,48633693,58119919,65606716,70782860,79256153,83275942,87848891,94599764,103238157,103003668,108010769,115881009,119893863,127518635,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,80365521,81818109,82046568,83275942,82256550,81679948,84450188,87848891,88814185,92625851,93533598,94599764,95719366,98546233,99850687,103238157,102738793,103015620,103068248,103003668,99125943,97129171,103945803,108010769,109113095,110915741,113410255,115881009,115662006,117075402,119307171,119893863,119132929,120308006,122425127,127518635,128073944,127293963,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total–includingIoT|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|Totalactivemobileconnections(handsetmobilebroadbandandIoT).Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.
Mobile,Connections,total–includingIoT,Total,Sub-SaharanAfrica,Tanzania,Totalmarket,Unknown,0.0,0.0,8608532,8333463,13134875,17731743,21463273,26460128,28309989,28920250,34317170,41894401,42503297,42525024,46174786,50466773,54152737,57247261,63622178,74040999,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,35890009,37364423,39325225,41894401,41736798,41462526,42393068,42503297,42218343,42747365,42419509,42525024,42848765,44332307,45484291,46174786,46621966,46531577,47469477,50466773,51677295,50906647,52022644,54152737,55809581,56175873,57189882,57247261,58556996,59472307,61407803,63622178,65281126,67575359,70728730,74040999,76327220,79602117,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total–includingIoT|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|Totalactivemobileconnections(handsetmobilebroadbandandIoT).Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.
Mobile,Connections,total–includingIoT,Total,Sub-SaharanAfrica,Uganda,Totalmarket,Unknown,0.0,0.0,2697616,5163414,8555980,9387880,12836231,16709729,16689782,18094222,20401141,20268117,22904040,25035257,24502447,26755702,27901802,30469850,34319142,40538201,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,21495339,21951910,22691076,20268117,21144030,22091112,22057271,22904040,23736010,23684088,24442267,25035257,24117358,23800933,23241084,24502447,24768808,25574886,25743591,26755702,28525556,25541011,26628034,27901802,28513327,29105874,28890007,30469850,30432645,31018482,32263175,34319142,36412837,37738842,39113243,40538201,42016262,43551330,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total–includingIoT|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|Totalactivemobileconnections(handsetmobilebroadbandandIoT).Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.
Mobile,Connections,total–includingIoT,Total,Sub-SaharanAfrica,Zambia,Totalmarket,Unknown,0.0,0.0,Unknown,2639000,3662566,4410403,5771463,8170377,10532485,10436213,10081759,11578453,11770808,13476966,15521864,17289979,19205743,20416075,20062957,20208697,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10854575,10621825,10857196,11578453,11635822,11694401,11710215,11770808,11947684,12462865,13007071,13476966,13531527,13881118,14525790,15521864,15755128,15967555,16953590,17289979,17141862,18004121,18709940,19205743,19377690,19819511,20118142,20416075,19577019,18906908,19479591,20062957,19892459,20327100,20003163,20208697,20417359,20630386,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total–includingIoT|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|Totalactivemobileconnections(handsetmobilebroadbandandIoT).Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.
